system_id,artTitle,artUrl,artDate,artCatagory,artContent,dataSource
1,生女帶來喜氣！張育成「爸氣」回歸 第二轟出爐｜東森新聞,https://news.ebc.net.tw/news/article/363551,2023-04-21 17:33:00,體育,才剛迎來二寶運氣有夠好！效力波士頓紅襪對的台灣好手張育成，敲出本球季的第二支全壘打。由於張育成太太剛剛為他生下第二個小孩，球賽主播就表示，沾染生子喜氣之後，張育成的表現是真正的「爸」氣回歸。美國職棒大聯盟雙城與紅襪的比賽，五局下輪到台灣好手，「國防部長」張育成上場打擊，面對投手一個時速148公里的內角低球，被張育成撈到了！這個球一直飛向綠色怪物芬威球場的左外野看台，再彈回場內，是一發兩分砲，也是張育成本球季第二支紅不讓，而球賽主播在播報時，就特別強調是新老爸的手氣。會強調「新老爸」，是因為張育成前一場，請陪產假，透過線上視訊，陪在台灣生產的老婆，也在G限動分享，女兒出生的好消息，正式升格二寶爸。在比賽結束後，他也馬上傳訊息向太太報喜，表示全壘打是送給今世與前世的情人。對於一般人認為，結婚生子將帶來好運，球賽主播也深信不疑，就希望能看到張育成老爸的力量。主播的願望果然成真，除了打擊之外，守備也有好表現，五局上雙城隊一個強勁滾地，張育成退出內野草地，跪在地上硬是接到球，來得及傳一壘封殺打者，美技表現獲得讚賞。相隔五天，張育成再度轟出全壘打，讓他的打擊率，剛好來到一成，而前兩場打擊，都繳出白卷，紅襪總教練，還是把張育成排在先發名單，可見得對他的表現，仍深具信心。,EBC
2,張育成本季第3轟砲打釀酒人 女兒出生後已敲2轟｜東森新聞,https://news.ebc.net.tw/news/article/363733,2023-04-23 14:44:00,體育,波士頓紅襪隊的台灣好手張育成今天在密爾瓦基釀酒人主場敲出本季第3支全壘打。他19日請假陪產、迎接女兒出生後，已敲出2支全壘打。27歲的張育成是台灣唯一現役的美國職棒大聯盟球員。他今天在紅襪出戰釀酒人的比賽，擔任先發游擊手、第9棒，5局上一壘有人的情況下，敲出2分打點全壘打。當時紅襪0比3落後，張育成面對36歲左投手麥利（WadeMiley），鎖定他投出時速89英里（143公里）的卡特球，一棒打出左外野全壘打牆。這球又高又遠，直接打上第二層看台，根據大聯盟官網這球距離399英尺，擊球初速達107.3英里（173公里）。紅襪轉播單位的主播形容，張育成猛烈重擊這球，打出去就像子彈一樣。轉播也提到，剛迎接第2個孩子出生的張育成身上「老爸之力」（DadStrength）加倍。張育成與妻子李家綾最近喜上加喜，原有1歲半的兒子張勝恩（Winston）之外，台灣時間4月20日李家綾在台灣生下女兒Winola，張育成人在美國，像球隊請陪產假，透過視訊陪伴太太生產。張育成在美國時間20日歸隊之後，當天就敲出本季第2支全壘打，今天這支全壘打是張育成女兒出生後的第2轟，也是本季第3支全壘打。台灣棒球界稱「娶某前，生囝後」運勢好，美國形容當了爸爸之後身上會有「老爸之力」（DadStrength），張育成則在他的粉絲專頁上用女兒的名字稱是WinolaPower。紅襪本場得分都靠全壘打，5局上張育成2分砲，6局上招牌球星德佛斯（RafaelDevers）本季第8轟出爐，同樣是2分打點。不過紅襪失分達5分，終場4比5吞敗，與釀酒人系列賽戰成1勝1敗。,EBC
3,「部長」又炸裂 張育成擊出2分炮 本季第3轟｜東森新聞,https://news.ebc.net.tw/news/article/363829,2023-04-24 10:40:00,體育,台灣旅美職棒好手張育成再度敲出全壘打！22日紅襪在客場對上釀酒人隊，他擊出一支2分炮。這支全壘打也是他個人本季第三轟，巧合的是這三發都是左外野全壘打，而且都是2分砲。值得注意的是，張育成平均12個打數就有1發全壘打，在全大聯盟排名第28，成績比日籍球星大谷翔平的平均18.5打數1轟還要出色。主播：「這一球是由張育成敲出，相當的深遠，飛出去了。」台灣旅美職棒好手張育成再度炸裂，效力紅襪隊的他在5局上，2出局一壘有人時，大棒一揮，將釀酒人隊先發投手邁利投出的一顆86.8哩卡特球，轟出左外野全壘打牆，擊出一支2分炮，將比數追近到2比3。主播：「這是他個人本季第三轟。」這支全壘打也是他個人本季第三轟，同時是第一次在客場開轟，巧合的是這三發都是左外野全壘打，而且都是2分砲。張育成本季敲安的3場比賽都炸裂，而他在5局下又展現美技，當時釀酒人2出局三壘有人，打者康崔拉斯擊出三游間強勁滾地球，張育成將球攔截下來，快傳一壘拿到第3個出局數，也幫紅襪守下一分。而正在與堪薩斯皇家隊展開系列戰的大谷翔平，22日依然是先發第三棒指定打擊的身份，不過打擊狀況未見起色，全場5個打數沒有安打，近四場比賽中，16打數只有敲出一支安打，球迷都期待盡快看到他的好表現。,EBC
4,「浮空聖火」加300秒煙火！全中運隆重開幕｜東森新聞,https://news.ebc.net.tw/news/article/363848,2023-04-24 13:30:00,體育,"112年全國中等學校運動會，在新竹縣立體育館舉行開幕儀式，由地主田徑金牌選手徐立紘、林沛萱共同點燃""浮空聖火""，搭配約300秒的煙火秀相當精彩，選手之夜也邀請也歌手陳芳語、高爾宣輪番上陣，為選手們加油打氣。歌手陳芳語一開口，立刻讓全場觀眾聽得如癡如醉，112年全中運選手之夜，黃金卡司輪番開唱。高爾宣一現身氣氛瞬間嗨翻，除了歌手的精彩表演，開幕典禮更結合地方特色，由450位表演者以茶藝融合舞蹈，為選手們加油打氣。全中運睽違47年再回到新竹，首創的""浮空聖火""，更在新竹縣體育館升起，搭配300秒煙火秀，點亮新竹夜空。112年全中運，我們已經做好準備了，竹縣好山好水好人情，歡迎全國民眾在全中運賽事期間，來到新竹縣做客，一起為選手們加油打氣。本屆全中運共舉辦21種運動種類，包含田徑、游泳桌球羽球舉重等等，將會有超過2萬名運動員與會參加角逐金牌，精彩賽事令人相當期待。",EBC
5,張育成連3局策動雙殺 但揮空傷到手腕提前退場｜東森新聞,https://news.ebc.net.tw/news/article/363933,2023-04-25 11:15:00,體育,大聯盟波士頓紅襪台灣好手張育成近期攻守俱佳，今天作客巴爾的摩連3局策動雙殺斬斷金鶯隊攻勢，但他7局上打擊時揮空傷到左手腕，提前退場，紅襪終場4比5不敵金鶯。近8場出賽3度開轟的張育成此役擔任先發第9棒，前2打席分別擊出內野滾地球、右外野飛球出局。7局上，他在1好1壞後被一記偏低滑球吊中，揮棒落空，隨即露出痛苦表情，左手腕明顯不適，最後在總教練柯拉（AlexCora）與防護員陪伴下退場。代打的阿洛尤（ChristianArroyo）隨後遭三振，這次三振算在張育成頭上。張育成此役3打數未敲安，連續安打場次停在2場。柯拉賽後表示，張育成明天將在巴爾的摩接受進一步檢查，目前情況是左手腕「痠痛」。張育成近期打擊加溫，守備也頻頻有美技演出，成為精采畫面重播常客。這場比賽金鶯3局下起連3個半局攻下分數，後來居上，張育成也連3個半局在游擊防區策動雙殺，不斷以守備斬斷對手攻勢，助球隊咬住比分。紅襪2局上靠著卡薩斯（TristonCasas）陽春砲先馳得點。3局上，張育成以內野滾地球護送一壘跑者上二壘，下一棒維杜格（AlexVerdugo）適時敲安，助紅襪再下一城，德佛斯（RafaelDevers）接著擊出2分砲，以9轟暫居美國聯盟全壘打王。不過，落後4分的金鶯隨後突破紅襪先發投手塞爾（ChrisSale）壓制，3局下扳回一城，4局下再以連4支安打攻下3分，扳平比數。金鶯開路先鋒海斯（AustinHays）5局下在三壘有人、紅襪內野趨前防守時抓住機會，將球擊穿三游防線，送回超前分。金鶯終場就靠這分贏球，拿下與紅襪系列賽首戰，拉出7連勝。紅襪日籍打者吉田正尚此役敲出3支一壘安打，外加四壞保送，共4度上壘。他連5場有安打，期間打擊率達5成，擺脫開季低潮後打擊持續回溫。吉田正尚昨天客場對密爾瓦基釀酒人8局上兩度開轟，包括一發滿貫砲，成為紅襪隊史第5名有此成就的打者，與2008年8月12日首局雙響砲的「老爹」歐提茲（DavidOrtiz）齊名，也是首位在大聯盟達成這項難得紀錄的日籍球員。,EBC
6,捷報！冰球世錦賽 中華隊創16年來記錄奪冠｜東森新聞,https://news.ebc.net.tw/news/article/363942,2023-04-25 12:08:00,體育,體壇好消息！中華隊成人男子冰球遠赴南非比賽，成軍16年來，總算拿到冰球世錦賽3A組冠軍，協會粉專寫著「聽到國旗歌的聲音非常感動」。國歌在冰球場上響起，選手們一字排開大聲高唱，因為遠赴南非，參加IHF世界男子冰球錦標賽第三級A組比賽，勇奪隊史第一面金牌，更是成隊16年來最好的成績。中華隊在冰球場上有亮眼表現，男子成人隊選手幾乎是斜槓，白天上班晚上訓練，今年在南非的三級A組，擊退泰國、南非、盧森堡還有土庫曼，以全勝成績拿到世錦賽金牌。秘書長表示，有特別跟總教練討論訓練方式，還特別做移地訓練，甚至還替選手們做練習過程分析，為了摸清敵人底細，也做了他國隊伍分析。這回四場全勝，球員們也都很興奮迎接接下來的訓練，準備明年賽事。,EBC
7,再次讓世界看見！台灣啦啦隊國際盃奪冠｜東森新聞,https://news.ebc.net.tw/news/article/364040,2023-04-26 08:10:00,體育,美國舉行2023啦啦隊國際盃，台灣代表隊傳出捷報，在競技啦啦隊最高級組擊敗各國好手「勇奪冠軍」，不過在頒獎時，大會播放冠軍隊國歌時，工作人員一度誤播成中國國歌，也成為意外插曲。台灣代表隊一開場，就來一技高難度的單手支撐，零失誤的水準迎戰各國隊伍，緊接著花招百出，讓人看得熱血沸騰。高空翻轉兩圈，緊接著上舉、倒立，所有隊員動作一致，青春有活力的節奏搭配精湛技巧演出。任何艱難動作都難不倒台灣代表隊，一連串完美特技讓所有人相當震撼，同場的還有強勁對手日本隊。完美拋接動作扎實難度又高，日本隊同樣搏得滿堂彩，這場在美國舉行的2023啦啦隊國際盃24號圓滿落幕，最終台灣競技啦啦隊以完美的表現獲得親賴，在男女混合最高級組當中拿下世界冠軍。中華隊員站在頒獎台上，所有人感受這榮耀一刻，現場響起中華民國國旗歌，後方螢幕上會旗飄揚，不過當下發生小插曲，知情人士透露，一開始現場響起中國國歌，團員們都很錯愕，暖心的是在場的外國選手不斷大喊著TPE，為台灣選手加油，隨即大會趕緊改播國旗歌，全場也起立熱烈歡呼，中華隊這回在啦啦隊國際盃中，拿下男女混合最高級組金牌，再次讓世界看見台灣。,EBC
8,張育成揮棒落空傷退 疑左手腕受傷恐入傷兵名單｜東森新聞,https://news.ebc.net.tw/news/article/364056,2023-04-26 09:43:00,體育,7局上紅襪出戰金鶯隊，一顆128公里滑球，張育成揮棒落空，似乎是用力過猛，臉上立刻露出痛苦神情，隨後握住左手腕非常不舒服，總教練柯拉立刻上場關切，並隨即將他換下場。球評：「張育成必須下場，因為他揮棒受傷。」紅襪隊換阿洛尤代打，最終吞下老K，但依然算在張育成頭上，他終場3打數無安打，總教練表示，張育成明天將接受檢查，雖然進入傷兵名單機會極高，但他希望不是傷到鉤狀骨，因為那將讓張育成缺席4至6周，不但對紅襪隊不利，對氣勢如虹的張育成來說，更會是一大打擊。球評：「1好球2壞球，一顆滾地球，張育成，出局一人，第一次雙殺出現。」張育成在受傷前鎮守游擊大關，策動3次雙殺守備，打擊手感加溫，加上頻頻出現防守美技，也讓美國媒體指出，張育成缺席，將會對紅襪內野深度造成重大打擊，而同天比賽中，天使隊二刀流大谷翔平，出戰運動家也差點受傷。球評：「直接朝著他的頭飛去。」一顆137公里的變速球失控飛向大谷頭部附近，驚險一瞬間，伴隨一聲大叫，大谷大動作閃開，帽子還被甩了出去，所幸有驚無險。現場球迷一片噓聲，大谷禮貌舉起雙手示意自己沒事，他事後還向捕手開玩笑說下個就輪到他，天使隊在這場比賽中，前5局因為先發投手失分，陷入2比7落後，所幸第6局單局灌進5分，大谷也貢獻一支二壘安打，但最終依然以10比11，輸掉比賽。,EBC
9,WTT曼谷球星挑戰賽 鄭怡靜1日2勝單打晉16強｜東森新聞,https://news.ebc.net.tw/news/article/364135,2023-04-26 16:22:00,體育,在曼谷舉行的WTT球星挑戰賽，台灣桌球一姐鄭怡靜今天1日2勝，單打32強先以3比1擊敗羅馬尼亞女將薩瑪拉，雙打再和學妹李昱諄聯手3比1擊敗黃怡樺、陳思羽晉4強。世界桌球大聯盟（WTT）本週轉戰泰國曼谷進行球星挑戰賽，台灣好手鄭怡靜賽前和薩瑪拉（ElizabetaSamara）生涯交手過6次，鄭怡靜取得4勝2敗的優勢，還是對戰2連勝。首局開打後，鄭怡靜就連得6分，輕鬆以11比3拿下首局；第2局鄭怡靜同樣開賽就連得7分，順利再以11比7收下第2局，取得局數的絕對領先。第3局鄭怡靜主動失誤較多，以9比11讓出一局，來到關鍵的第4局，原本鄭怡靜還以2比4落後，但接著她連得5分超前後，對手喊了一個暫停，不過回來後對手又回球失誤，這一波讓鄭怡靜連得7分，反以9比4超前，順利再以11比5收下比賽勝利，16強對手將是中國小將蒯曼。至於鄭怡靜和學妹李昱諄的女雙組合，今天在8強賽，僅用了27分鐘，就以以11比5、9比11、11比8、11比9擊敗黃怡樺、陳思羽的組合，順利闖進4強。鄭怡靜和李昱諄在今年合拍成績不錯，2月先拿下WTT安曼挑戰賽女雙冠軍，3月又獲得WTT果阿球星挑戰賽亞軍。教練鄭佳奇在接受中央社記者電訪時說：「對手還是很強，但我們有把握住機會，加上最近的練習狀況很不錯，所以才有機會一天拿下2場勝利。」,EBC
10,羽球亞錦賽開打 戴資穎直落2勝星國女將晉16強｜東森新聞,https://news.ebc.net.tw/news/article/364143,2023-04-26 16:38:00,體育,在杜拜舉行的2023羽球亞洲錦標賽今天進行首輪32強小組賽，女單世界排名第4的戴資穎，以21比17、21比18擊敗新加坡女將楊佳敏，順利闖進16強。戴資穎賽前和楊佳敏交手過2次，2場比賽都以直落2獲勝，最近一次交手就是去年的印尼公開賽，包括今天獲勝在內，戴資穎取得對戰3連勝。戴資穎超過1個月再度參加國際賽，首局前段雙方都還在摸索，不過雙方10比10平手時，戴資穎連得4分拉開差距，雖然又被對手追到15比13，但此時戴資穎又連拿3分穩定軍心，順利收下首局。第2局開賽楊佳敏拉出6比1攻勢，讓戴資穎從後苦苦追趕，所幸戴資穎處變不驚，11比15落後時連得4分追平戰局。隨後戰況雖一度陷入拉鋸，戴資穎在17比18落後時急拉尾盤，靠著連4比0攻勢順利關門，其中戴資穎還上演一次精彩的正手滑拍，將對手釘在原地。戴資穎曾在2017、2018年於羽球亞錦賽完成女單2連霸，這次是她相隔4年後再度參賽，雖然這場比賽不列入巴黎奧運積分週期，但因為戴資穎喜歡到杜拜參賽的氛圍，因此才加入這趟行程。戴資穎在接受中央社記者電訪時說：「第1場比賽還是一樣在習慣球場的風向和燈光等等，覺得自己表現的還可以更好，尤其主動失誤上應該可以降低。」除了戴資穎外，台灣另一女單好手、世界排名第36名的宋碩芸，同以直落二橫掃印尼小將瓦達妮（PutriKusumaWardani），寫下對戰2連勝，只不過宋碩芸晉級後下一輪對手，是現任球后、日本名將山口茜。,EBC
