system_id,sentence
2,原文連結
2,////
2,__
2,__
2,原文內容
2,記者王家珩徐兆緯台北報導
2,前電競世界冠軍日前開直播，雖然用自動駕駛，但雙手卻完全離開方向盤，甚至不停
2,滑手機，遭大量網友留言罵翻，實際上這些行為，警方表示都已經違規，甚至未握方向盤
2,的部分屬於危險駕車，最高可罰二萬四
2,///
2,▲駕駛特斯拉開直播
2,前電競世界冠軍劉偉健這回邊開車邊開直播，結果聊天室排噓聲
2,劉偉健法官在看，特斯拉耶，人工智能，雙手放開雙腳放開它都會到林口，科
2,技的發達可不可以接受下，我不需要看前方，也不需要握著方向盤
2,雙手離開方向盤還開始滑手機，網友留言罵翻，還臉無所謂
2,劉偉健我自動導航為什麼不能看手機，我自動導航幹嘛，你有毛病是不是
2,聊
2,天室叫你乖乖開車，你又在那邊念什麼，等等又被檢舉
2,好，我開車我開車我開車
2,但依照道路交通處罰管制條例，開車滑手機可罰，就算是自動駕駛，手也得緊握方向
2,盤，否則算是危險駕車，最高可罰萬
2,民眾當然不好啊，而且他又是直播主，就會比較容易帶動大家模仿
2,這是個非
2,常危險的事情，建議所有追蹤他的粉絲千萬不要去學習，也不要認為這是個很好英雄
2,主義的事情
2,慘遭網友洗臉後再繼續直播特訓拳擊，分鐘時間被館長打爆，甚至最後拳讓他
2,倒地
2,想不到也是這拳，事後說館長公報私仇，兩人萬簽的代言合約因此破局
2,但爭議連環爆，才因販毒被判刑，甚至還被人爆料詐賭，現在又惹火館長，最誇張還
2,危險駕車邊開直播，記者去信沒有取得回應，爭議延燒再加上違規行徑，恐怕風波難以平
2,息
2,心得/說明字以上
2,特粉不意外
2,原文及網址連結
2,心得或意見字不含標點符號
10,笑死
10,這種在中國月銷售排行第名的車
10,來到台灣被捧成神代表台灣韭菜真的很好割
10,以下資料來自車主之家銷售榜
10,沒有跟和少數進口車
10,之前查過銷量最好的品牌銷售排名大概快左右
10,所以根本沒差
10,排名車型銷量廠商售價台幣
10,特斯拉中國
