word,count
特斯拉,3001
電動車,1737
汽車,1309
充電,1211
駕駛,890
中國,821
車主,818
電池,763
台灣,665
公司,573
問題,573
品牌,521
使用,518
美國,501
車輛,465
現在,447
電車,420
自動,396
知道,371
說明,364
價格,363
系統,352
車廠,346
降價,336
一下,332
看到,331
車子,328
公里,327
成本,311
直接,305
電動,292
車款,286
銷售,283
豐田,279
生產,278
全球,272
功能,269
油車,265
發生,263
技術,253
車型,251
交車,245
發現,244
之後,243
這種,243
感覺,241
輔助,239
空間,238
未來,231
認為,226
製造商,225
原廠,225
安全,224
銷量,223
消費者,218
馬斯克,217
超過,216
超充,214
新聞,206
售價,203
福特,203
里程,201
萬元,200
設計,197
傳統,197
台車,196
一直,196
歐洲,195
完全,191
無法,191
主要,190
情況,189
影片,188
動力,186
軟體,186
開車,183
數據,178
最後,178
美元,177
方向盤,173
便宜,173
加速,172
左右,171
需求,168
一點,163
行駛,162
業務,160
東西,160
日本,160
煞車,159
特別,159
喜歡,158
根本,157
報名,156
高速,156
分享,156
顯示,155
遇到,154
購買,154
指出,151
原因,151
考慮,150
產業,150
內裝,149
規格,149
模式,149
一台,148
方式,145
推出,145
網路,145
最近,145
狀況,144
發展,143
資料,143
續航,143
實際,143
影響,143
後座,142
集團,141
選擇,141
小時,141
賓士,140
製造,138
政府,138
產品,138
一輛,137
透過,136
停車,135
德國,135
公路,134
廠商,133
保時捷,133
停車場,133
測試,133
一年,132
標準,132
亞迪,132
正在,131
北美,130
包括,130
速度,130
車上,128
降低,128
能源,127
更新,127
充電站,126
競爭,126
相關,126
意見,125
造成,125
導致,125
預計,124
出現,123
台北,123
處理,123
新車,122
快充,121
活動,120
手機,120
採用,120
至少,119
台北市,119
成長,119
事故,118
增加,118
建議,118
好像,117
擁有,116
維修,116
研究,115
調查,115
馬達,115
工廠,114
車禍,113
螢幕,112
本來,111
車馬費,111
更多,111
看看,110
的車,110
重要,110
車道,110
購車,110
群組,109
雷達,108
宣布,108
習慣,108
性能,108
加入,108
朋友,108
自駕,107
明顯,107
保養,107
召回,107
容易,107
馬力,106
標點符號,106
合作,106
符合,105
國家,105
持續,105
開發,105
投資,104
最大,104
