system_id,word,pos
16.0,原文,Na
16.0,連結,VC
16.0,///,FW
16.0,原文,Na
16.0,內容,Na
16.0,國道,Nc
16.0,電動車,Na
16.0,充電站,Nc
16.0,第三,Neu
16.0,期,Nf
16.0,準備,VF
16.0,招標,VA
16.0,個,Di
16.0,服務區,Nc
16.0,蓋座,VA
16.0,快充站,Nc
16.0,，,COMMACATEGORY
16.0,最,Dfa
16.0,低,VH
16.0,功率,Na
16.0,起跳,VA
16.0,國道,Nc
16.0,電動車,Na
16.0,充電站,Nc
16.0,準備,VC
16.0,第三,Neu
16.0,期,Nf
16.0,招標,VA
16.0,，,COMMACATEGORY
16.0,共計,VJ
16.0,個,Di
16.0,服務區,Nc
16.0,要,D
16.0,蓋座,VA
16.0,快充站,Nc
16.0,，,COMMACATEGORY
16.0,充電,VA
16.0,設備,Na
16.0,功率,Na
16.0,要求,VF
16.0,也,D
16.0,提高,VC
16.0,至,P
16.0,以上,Ncd
16.0,標案,Na
16.0,預計,VE
16.0,今年,Nd
16.0,三月份,Nd
16.0,招標,VA
16.0,，,COMMACATEGORY
16.0,九月,Nd
16.0,前,Ng
16.0,完成,VC
16.0,評選,VG
16.0,，,COMMACATEGORY
16.0,預計,VE
16.0,年,Nf
16.0,營運,Nv
16.0,///,FW
16.0,高公局,Nc
16.0,規劃,VC
16.0,年前,Nd
16.0,於,P
16.0,國道,Nc
16.0,沿線,Nc
16.0,所有,Neqa
16.0,服務區,Nc
16.0,要,D
16.0,設置,VC
16.0,共,Da
16.0,個,Nf
16.0,電動車,Na
16.0,充電,VA
16.0,車位,Na
16.0,，,COMMACATEGORY
16.0,分為,VG
16.0,三,Neu
16.0,階段,Na
16.0,三標案,Na
16.0,執行,VC
16.0,第,Neu
16.0,期,Nf
16.0,由,P
16.0,中興,VH
16.0,電工,Na
16.0,得標,VH
16.0,，,COMMACATEGORY
16.0,與,P
16.0,合作,VH
16.0,經營,VC
16.0,東山,Nc
16.0,清水,Nc
16.0,湖口,Nc
16.0,南北,Ncd
16.0,共,Da
16.0,四,Neu
16.0,站,VA
16.0,個,Nf
16.0,充電,VA
16.0,車位,Na
16.0,若,Cbb
16.0,再,D
16.0,加上,VC
16.0,前年,Nd
16.0,九月,Nd
16.0,西螺,Nc
16.0,北上,VA
16.0,加油站案,Na
16.0,的,DE
16.0,特爾,Nb
16.0,電力,Na
16.0,快充站,Nc
16.0,，,COMMACATEGORY
16.0,目前,Nd
16.0,國道,Nc
16.0,上,Ncd
16.0,服務,VC
16.0,中,Ng
16.0,的,DE
16.0,充電,VA
16.0,車位,Na
16.0,共計,VJ
16.0,個,Di
16.0,第二,Neu
16.0,期,Nf
16.0,標案,Na
16.0,為,VG
16.0,蘇澳,Nc
16.0,泰安,Nc
16.0,南北,Ncd
16.0,關西仁德,Nc
16.0,南北,Ncd
16.0,等,Cab
16.0,六,Neu
16.0,站,Nc
16.0,共,Da
16.0,個,Nf
16.0,充電,Nv
16.0,車位,Na
16.0,，,COMMACATEGORY
16.0,去年,Nd
16.0,月,Na
16.0,決標,VA
16.0,，,COMMACATEGORY
16.0,由,P
16.0,中興,VH
16.0,電工,Na
16.0,連莊,VH
16.0,，,COMMACATEGORY
16.0,現已,D
16.0,進入,VCL
16.0,建置,VC
16.0,階段,Na
16.0,，,COMMACATEGORY
16.0,今年,Nd
16.0,底,Ng
16.0,之前,Ng
16.0,會,D
16.0,啟用,VC
16.0,最後,Nd
16.0,波,Na
16.0,的,DE
16.0,第三,Neu
16.0,期,Nf
16.0,標案,Na
16.0,預計,VE
16.0,三月,Nd
16.0,進入,VCL
16.0,招標,VA
16.0,階段,Na
16.0,，,COMMACATEGORY
16.0,將,P
16.0,餘下,VJ
16.0,的,DE
16.0,所有,Neqa
16.0,服務區,Nc
16.0,納入,VJ
16.0,，,COMMACATEGORY
16.0,連,Cbb
16.0,興建,VC
16.0,中,Ng
16.0,的,DE
16.0,新,VH
16.0,營,Na
16.0,服務區,Nc
16.0,與,Caa
16.0,東草屯,Nc
16.0,休息站,Nc
16.0,也,D
16.0,涵蓋,VJ
16.0,在,P
16.0,內,Ncd
16.0,，,COMMACATEGORY
16.0,總計,Da
16.0,國道號,Nc
16.0,三號,Nc
16.0,五號,Nc
16.0,六號,Nc
16.0,共,Da
16.0,個,Nf
16.0,服務區,Nc
16.0,要,D
16.0,蓋座,VA
16.0,電動車,Na
16.0,快,D
16.0,充,VG
16.0,站,VA
16.0,，,COMMACATEGORY
16.0,每,Nes
16.0,站,Nc
16.0,規劃,VC
16.0,至,P
16.0,個,Nf
16.0,充電,VA
16.0,車位,Na
16.0,國道,Nc
16.0,服務區,Nc
16.0,電動車,Na
16.0,充電站,Nc
16.0,總表,Na
16.0,///,FW
16.0,在,P
16.0,招標,VA
16.0,說明會,Na
16.0,前夕,Nd
16.0,，,COMMACATEGORY
16.0,高公局,Nc
16.0,也,D
16.0,已,D
16.0,針對,P
16.0,當中,Ncd
16.0,七,Neu
16.0,個,Nf
16.0,服務區,Nc
16.0,列出,VC
16.0,充電站,Nc
16.0,建議,Na
16.0,設置,VC
16.0,位置,Na
16.0,，,COMMACATEGORY
16.0,可見,Dk
16.0,以下,Ncd
16.0,///,FW
16.0,///,FW
