system_id,sentence
16.0,原文連結
16.0,///
16.0,原文內容
16.0,國道電動車充電站第三期準備招標個服務區蓋座快充站，最低功率起跳
16.0,國道電動車充電站準備第三期招標，共計個服務區要蓋座快充站，充電設備功率
16.0,要求也提高至以上
16.0,標案預計今年三月份招標，九月前完成評選，預計年
16.0,營運
16.0,///
16.0,高公局規劃年前於國道沿線所有服務區要設置共個電動車充電車位，分為三
16.0,階段三標案執行
16.0,第期由中興電工得標，與合作經營東山清水湖口南北共四
16.0,站個充電車位
16.0,若再加上前年九月西螺北上加油站案的特爾電力快充站，目前
16.0,國道上服務中的充電車位共計個
16.0,第二期標案為蘇澳泰安南北關西仁德南北等六站共個充電車位，去年
16.0,月決標，由中興電工連莊，現已進入建置階段，今年底之前會啟用
16.0,最後波的第三期標案預計三月進入招標階段，將餘下的所有服務區納入，連興建中的新
16.0,營服務區與東草屯休息站也涵蓋在內，總計國道號三號五號六號共個服務區
16.0,要蓋座電動車快充站，每站規劃至個充電車位
16.0,國道服務區電動車充電站總表
16.0,///
16.0,在招標說明會前夕，高公局也已針對當中七個服務區列出充電站建議設置位置，可見以下
16.0,///
16.0,///
16.0,///
16.0,///
16.0,///
16.0,///
16.0,///
16.0,///
16.0,根據招標說明書，第三期國道快充站看來是有要求充電設備最低功率為，這點比
16.0,前二期開出來的規格都要高很多，終於有跟上時代的感覺
16.0,國道充電站收費標準不得高於
16.0,服務區以外地區的充電費率，充電設備至少要有支，其他規格由業者依市場判斷
16.0,，以及充好不走可收佔用費等，這些規則都繼續存在
16.0,另外才剛通過的停車場法有保障充電專用車位，這在國道快充站可以怎麼施行
16.0,這
16.0,點目前還不確定，就期待高公局和業者可以起討論出個有效的管理辦法
16.0,國道服務區電動車充電站設置要點
16.0,充電樁設置規格充電設備最低輸出功率需為以上充電樁，充電設備至少座規
16.0,"格充電樁，依市場需求增設其他規格如或,視實際服務需求提昇充電"
16.0,設備輸出功率
16.0,充電樁充電時間為促進服務區充電車位使用周轉率，充電樁提供電動車輛充電服務時間
16.0,，以不超過小時為原則
16.0,充電樁用電由提供電動車輛充電服務之廠商自行依設置充電樁規劃之需求，向標的服務
16.0,區所在電力公司申請專用電源
16.0,充電樁建置設備應特別注意行車安全不影響原停車場之配置進出動線標誌識讀性
16.0,及四周環境亮度，若有必要，需考量增設照明設施
16.0,充電樁數量變更視未來電動車發展趨勢，向高公局提出變更或擴充申請核准後變更之
16.0,最後還有點，是第三期標案站數眾多，因此高公局是採取個標案由二業者分配的做法
16.0,，得標優勝廠商獲得中壢西湖南投關廟服務區，外加個東草屯休息站，次優廠商
16.0,則是拿到石碇西螺古坑新營服務區
16.0,也就是說，第三期國道快充站不管怎麼標，最
16.0,後定會出現二家不同的充電營運商的
16.0,///
16.0,心得/說明字以上
16.0,目前國道快充已有站共個充電車位
16.0,今年底之前會再啟用站個充電車位
16.0,而即將於三月招標的第三期標案
16.0,將會有站，預計~個充電車位
16.0,國道快充的便利度真的越來越好
16.0,以目前大多數的純電車款充電效率來說
16.0,國道休息站上個廁所分鐘
16.0,期間補進所需電量不是問題
16.0,只有少數小電池的都會車款無法達標
16.0,國道休息站快充提供的便利度
16.0,勢必提升了消費者購買純電車的意願
16.0,最近有特價活動
16.0,有需要的車主請不要錯過
16.0,每度電享有元優惠直到//
16.0,///
208.0,先前有訂
208.0,本來月收到說月中交車已降價，因故我想順延到下個季度再交車
208.0,剛剛收到電話說特斯拉打算月底把停車輔助加回去，問我有沒有意願在這批交車
208.0,沒有說明是硬體還是軟體方案
208.0,在想是不是最近太多人順延了，所以才會有這樣主動的意願徵詢
208.0,猜測停車輔助與降價還是有影響交車情況
208.0,有人有收到這個訊息嗎
208.0,還有沒有進步的資訊
240.0,電子廠商爭先搶入電動車，索尼鴻海高通蘋果和小米各有不同戰略
240.0,原文連結
240.0,///
240.0,原文內容
240.0,電動車本質似乎不完全是汽車，電動車不再是汽車製造商稱霸的天下，許多電子公司正在進軍電動車領域，有些公司懷著製造自己電動車的雄心，有些是為他人製造的下代聯網軟體密集型電動車，並提供作業系統或運算能力
240.0,電子產業中熱門的名字包含索尼鴻海輝達高通蘋果和谷歌，甚至小米
240.0,索尼和本田的合資企業，預計在三年後商品化電動車，如今高通在運算能力的支援和的進步投入之下，期望為其電動車帶來搭載運算能力，以實踐電動車成為行動產業的明星
240.0,至於鴻海則是希望在電動車產業上複製其在消費電子領域扮演的幕後角色
