artDate,artTitle,artContent,sentence,LLM,情緒,文章分類
2023-03-24 13:25:43,情報特斯拉版出現視覺停車測距,美國知名非官方用來統計最新更新的網站出現最新版更新的發布資料裡面顯示沒有超音波雷達的將會開始使用視覺記憶來顯示度周圍物體的距離目前台灣還不知道會不會是同一版上這個能力因為網頁上寫但至少我們知道這已經還是發行在沒有的國外車上了台灣上這個能力只是遲早的問題我自己的目前版本是也就是說最快可能下一版就會上不過如果像一樣那有可能會晚國外幾個月,美國知名非官方用來統計最新更新的網站出現最新版更新的發布資料裡面顯示沒有超音波雷達的將會開始使用視覺記憶來顯示度周圍物體的距離目前台灣還不知道會不會是同一版上這個能力因為網頁上寫但至少我們知道這已經還是發行在沒有的國外車上了台灣上這個能力只是遲早的問題我自己的目前版本是也就是說最快可能下一版就會上不過如果像一樣那有可能會晚國外幾個月,"{""文章分類"": ""使用者體驗"",""情緒"": ""中性""}",,
2023-03-24 14:17:13,新聞特斯拉自撞卡分隔島駕駛路況不熟釀禍,複習一下真的很懷疑是不是特斯拉根本看不到這種比車身低的分隔島所以老是有特斯拉騎上分隔島去當特斯拉騎上分隔島不幸撞到底盤電池起火如果好運像林志穎有好心路人願意冒自己生命危險拖救他出來的話就沒事但如果剛好旁邊沒人可能就只能等七天後才能回家了感覺還真的是挺危險的車子,複習一下真的很懷疑是不是特斯拉根本看不到這種比車身低的分隔島所以老是有特斯拉騎上分隔島去當特斯拉騎上分隔島不幸撞到底盤電池起火如果好運像林志穎有好心路人願意冒自己生命危險拖救他出來的話就沒事但如果剛好旁邊沒人可能就只能等七天後才能回家了感覺還真的是挺危險的車子,"{""文章分類"": ""安全性方面"",""情緒"": ""負面"",}",,
2023-03-24 16:33:02,新聞台中公有充電樁要收費了停天元,原文連結原文內容台中公有充電樁要收費了停天元車主炸鍋說好的友善城市呢記者鮮明台中報導台中市政府為鼓勵民眾使用電動車公有停車場充電停車都免費卻有特斯拉車主組成充電群組互相回報霸佔充電樁導致需要的車主沒得充為杜絕此亂象台中市停管處最新公告今年年月日起充電區改採累進費率不論是否充電第小時收費元第小時起元停天收費元卻讓電動車主炸鍋在群組內批評當初承諾的電動車友善城市哪裡去了台中市政府鼓勵民眾使用電動車原本規定公有停車場電動車充電停車均免費但後來出現長期佔用充電樁及停車格的情況遂於去年改採累進費率充電及充電時停車仍免費但車輛若未插上充電槍停在設有充電樁的車格內第小時停車費元第小時起每小時加元以增加充車樁及停車格周轉率不過由於充電停車都免費導致部份家裡有裝設電動樁的車主為了省電費也到公有停車場充電還有特斯拉車主組成充電群組成員在群組內透過互相回報排隊預約方式霸佔充電樁這台充完後通知另台車主到場充電其他電動車想充電還被問有加入群組嗎沒有加入不能充電挨批拿公有資源做私人管理為此台中市停車管理處前天日在官網公告台中市公有路外停車場電動車專用充電區自今年年月日起實施汽車累進費率收費管理收費以半小時計費第小時元第小時起每小時元也就是說月日起電動車停在充電區不論是否有無充電都要依累進費率收費公告一出立即引發充電群組的車主炸鍋有車主算出依新費率電動車停在充電區天就要付費元比以前免費差太多也比其他城市電動車充電收費來得高當初電動車友善城市的承諾在哪甚至說打爆市議員電話陳情比較實在還有車主開始討論外面第三方充電的價格表示要轉移到其他民間充電樁有車主分析以其特斯拉計算每次約充度電如果除以每小時度小時就可以完成充電也就是停小時第小時第小時第小時第小時第小時元換算每度約元比家充貴但是比超充便宜一半合理啦也有電動車主贊成收費表示自己經常臨時要充電到停車場卻發現充電車格都被佔用有的甚至調整成低電流充電模式就是要讓車子能免費停車久一點他認為新制至少會抑制家有充電樁的車主到外面搶充電車格對此台中市交通局長葉昭甫表示新的累進收費制是為了落實使用者付費精神與民營慢充站平均市場行情相較平均每小時約元台中市充電停車費相當於打折優惠未來將視使用率滾動檢討費率葉昭甫強調市府持續推廣各項綠能措施電動車若停放於台中市其他公有非充電車格路邊路外約萬格仍免收停車費而充電車格因屬專用車格為減少遭占用等不當使用情形故將充電車格納入收費管理營造更友善的電動車輛環境也有助推廣民眾使用低碳交通運具交通局說明充電車格依停車場法規定屬專用性質任何車輛停放於充電車格若未充電即屬占用行為除將依充電車格公告的停車費率收費外並依法實施車輛拖吊移置作業呼籲民眾將充電車格留給有充電需求的民眾心得說明字以上要收錢就不友善了一兩百萬的車都買了耶為了環保付點錢很困難嗎而且七月才開始收錢台中車主還有三個月可以免費使用很爽了吧原文及網址連結心得或意見字不含標點符號,原文連結原文內容台中公有充電樁要收費了停天元車主炸鍋說好的友善城市呢記者鮮明台中報導台中市政府為鼓勵民眾使用電動車公有停車場充電停車都免費卻有特斯拉車主組成充電群組互相回報霸佔充電樁導致需要的車主沒得充為杜絕此亂象台中市停管處最新公告今年年月日起充電區改採累進費率不論是否充電第小時收費元第小時起元停天收費元卻讓電動車主炸鍋在群組內批評當初承諾的電動車友善城市哪裡去了台中市政府鼓勵民眾使用電動車原本規定公有停車場電動車充電停車均免費但後來出現長期佔用充電樁及停車格的情況遂於去年改採累進費率充電及充電時停車仍免費但車輛若未插上充電槍停在設有充電樁的車格內第小時停車費元第小時起每小時加元以增加充車樁及停車格周轉率不過由於充電停車都免費導致部份家裡有裝設電動樁的車主為了省電費也到公有停車場充電還有特斯拉車主組成充電群組成員在群組內透過互相回報排隊預約方式霸佔充電樁這台充完後通知另台車主到場充電其他電動車想充電還被問有加入群組嗎沒有加入不能充電挨批拿公有資源做私人管理為此台中市停車管理處前天日在官網公告台中市公有路外停車場電動車專用充電區自今年年月日起實施汽車累進費率收費管理收費以半小時計費第小時元第小時起每小時元也就是說月日起電動車停在充電區不論是否有無充電都要依累進費率收費公告一出立即引發充電群組的車主炸鍋有車主算出依新費率電動車停在充電區天就要付費元比以前免費差太多也比其他城市電動車充電收費來得高當初電動車友善城市的承諾在哪甚至說打爆市議員電話陳情比較實在還有車主開始討論外面第三方充電的價格表示要轉移到其他民間充電樁有車主分析以其特斯拉計算每次約充度電如果除以每小時度小時就可以完成充電也就是停小時第小時第小時第小時第小時第小時元換算每度約元比家充貴但是比超充便宜一半合理啦也有電動車主贊成收費表示自己經常臨時要充電到停車場卻發現充電車格都被佔用有的甚至調整成低電流充電模式就是要讓車子能免費停車久一點他認為新制至少會抑制家有充電樁的車主到外面搶充電車格對此台中市交通局長葉昭甫表示新的累進收費制是為了落實使用者付費精神與民營慢充站平均市場行情相較平均每小時約元台中市充電停車費相當於打折優惠未來將視使用率滾動檢討費率葉昭甫強調市府持續推廣各項綠能措施電動車若停放於台中市其他公有非充電車格路邊路外約萬格仍免收停車費而充電車格因屬專用車格為減少遭占用等不當使用情形故將充電車格納入收費管理營造更友善的電動車輛環境也有助推廣民眾使用低碳交通運具交通局說明充電車格依停車場法規定屬專用性質任何車輛停放於充電車格若未充電即屬占用行為除將依充電車格公告的停車費率收費外並依法實施車輛拖吊移置作業呼籲民眾將充電車格留給有充電需求的民眾心得說明字以上要收錢就不友善了一兩百萬的車都買了耶為了環保付點錢很困難嗎而且七月才開始收錢台中車主還有三個月可以免費使用很爽了吧原文及網址連結心得或意見字不含標點符號,"[  {""文章分類"": ""性價比方面"",""情緒"": ""負面"",  },  {""文章分類"": ""服務方面"",""情緒"": ""負面"",  },  {""文章分類"": ""車輛交付方面"",""情緒"": ""負面"",  },  {""文章分類"": ""性價比方面"",""情緒"": ""負面"",  },  {""文章分類"": ""安全性方面"",""情緒"": ""正面"",  },  {""文章分類"": ""使用者體驗"",""情緒"": ""負面"",  },  {""文章分類"": ""服務方面"",""情緒"": ""負面"",  },  {""文章分類"": ""車輛交付方面"",""情緒"": ""負面"",  },  {""文章分類"": ""性價比方面"",""情緒"": ""負面"",  },  {""文章分類"": ""安全性方面"",""情緒"": ""正面"",  },  {""文章分類"": ""使用者體驗"",""情緒"": ""負面"",  },  {""文章分類"": ""安全性方面"",""情緒"": ""負面"",  }]",,
2023-03-24 18:38:31,新聞高通期望在蘋果汽車尚未面市前以,高通期望在蘋果汽車尚未面市前以主導未來電動車市場原文連結原文內容隨著對手機和物聯網產品的需求減弱高通營收開始下降但是在數位底盤的推動下讓人們見識到高通正在尋求進入電動車並建立一個關鍵成長的業務支柱事實上根據的數據在數位底盤的推動下其汽車業務在年第四季成長達到億美元高通數位底盤的客戶包括索尼本田行動賓士通用汽車凱迪拉克和集團這集團包括標致飛雅特雪鐵龍吉普道奇瑪莎拉蒂和克萊斯勒等高通還表示它已經獲得了現代汽車集團蔚來和富豪汽車對新平台的支持基本上數位底盤包含四個關鍵的高通汽車系統和車對車技術等聯網系統數位儀錶板和資訊娛樂系統滿足無線軟體更新和平台駕駛輔助技術和自動駕駛功能一旦採用高通的數位底盤汽車製造商將受益於聯網系統的更快開發透過這一系統汽車廠商可自行配置處理器建立連網能力和安全系統在內燃機的汽車時代競爭環境是由擁有一個多世紀研發引擎與製造經驗的汽車製造商主導但是到了電動車時代高通希望建立一個電動傳動系統讓其透過一致性和簡單性幫助廠商創造一個公平的競爭環境高通認為技術軟體和電氣架構是電動車製造商在未來必須考慮的關鍵差異化因素屆時電動車的駕駛方式將不再使其與競爭對手區分開來的關鍵了高通希望數位底盤能夠為電動車製造商激發新的商業模式而不僅僅是依靠銷售和維護電動車獲利而已許多新創公司進入電動車產業時他們有很多時間從設計到製造都透過自己完成其中特斯拉是最好的案例可是隨著電動車時代起飛和其他新創公司即使在設計電動車的過程中都做得非常好但是卻發生難以大規模生產汽車的困難對於傳統汽車廠商來說他們要追上特斯拉必須縮短進入電動車的時間高通數位底盤就成為一個選項在電動車領域單打獨鬥是很艱難的即使對於一家擁有強大資源的蘋果公司來說也是如此這也是其發展電動車一直不順利的原因總之高通已經跨出了第一步在一切尚未底定之前高通期望數位底盤能夠成為其主導電動車的一張王牌以延續他們在智慧型手機晶片的光芒心得說明字以上高通加入電動車戰局所推出的電動車系統已經受到許多車廠的青睞汽車業務將成為高通的下一個重要業務,高通期望在蘋果汽車尚未面市前以主導未來電動車市場原文連結原文內容隨著對手機和物聯網產品的需求減弱高通營收開始下降但是在數位底盤的推動下讓人們見識到高通正在尋求進入電動車並建立一個關鍵成長的業務支柱事實上根據的數據在數位底盤的推動下其汽車業務在年第四季成長達到億美元高通數位底盤的客戶包括索尼本田行動賓士通用汽車凱迪拉克和集團這集團包括標致飛雅特雪鐵龍吉普道奇瑪莎拉蒂和克萊斯勒等高通還表示它已經獲得了現代汽車集團蔚來和富豪汽車對新平台的支持基本上數位底盤包含四個關鍵的高通汽車系統和車對車技術等聯網系統數位儀錶板和資訊娛樂系統滿足無線軟體更新和平台駕駛輔助技術和自動駕駛功能一旦採用高通的數位底盤汽車製造商將受益於聯網系統的更快開發透過這一系統汽車廠商可自行配置處理器建立連網能力和安全系統在內燃機的汽車時代競爭環境是由擁有一個多世紀研發引擎與製造經驗的汽車製造商主導但是到了電動車時代高通希望建立一個電動傳動系統讓其透過一致性和簡單性幫助廠商創造一個公平的競爭環境高通認為技術軟體和電氣架構是電動車製造商在未來必須考慮的關鍵差異化因素屆時電動車的駕駛方式將不再使其與競爭對手區分開來的關鍵了高通希望數位底盤能夠為電動車製造商激發新的商業模式而不僅僅是依靠銷售和維護電動車獲利而已許多新創公司進入電動車產業時他們有很多時間從設計到製造都透過自己完成其中特斯拉是最好的案例可是隨著電動車時代起飛和其他新創公司即使在設計電動車的過程中都做得非常好但是卻發生難以大規模生產汽車的困難對於傳統汽車廠商來說他們要追上特斯拉必須縮短進入電動車的時間高通數位底盤就成為一個選項在電動車領域單打獨鬥是很艱難的即使對於一家擁有強大資源的蘋果公司來說也是如此這也是其發展電動車一直不順利的原因總之高通已經跨出了第一步在一切尚未底定之前高通期望數位底盤能夠成為其主導電動車的一張王牌以延續他們在智慧型手機晶片的光芒心得說明字以上高通加入電動車戰局所推出的電動車系統已經受到許多車廠的青睞汽車業務將成為高通的下一個重要業務,"{  ""文章分類"": ""性價比方面"",  ""情緒"": ""負面""}",,
2023-03-24 23:40:50,心得心得,妳看特粉又在裡面大戰了哈哈哈好好笑自從幾年前加入車群之後時不時就會看到特粉在群組大戰的訊息每次看到跳針言論就會跟老婆分享當作茶餘飯後的消遣看特斯拉的感覺大概就是看一群信徒買的車生了小孩換了之後其實基本上無可挑剔把車子的一些內裝配備改到自己喜歡的樣子環景也讓老婆開始會開車帶小孩出門這快兩年的時間承載著一家三口到處玩到也創造很多美好回憶只是小孩開始唸書之後在市區通勤時間多了油耗也跟著開始爆炸保養卷三次也用完買了超多東西算了算油錢保養稅金也是一筆頗大開銷但也沒有說到想換車某天特斯拉傳說家裡附近有一間展間新開幕趁小孩上學跟老婆去看一下結果看了看聊了聊天就下訂了最主要是看完之後覺得電車以目前的通勤方式市區通勤回老婆娘家綜合起來是最省的方式另外保養跟稅金也是一筆再著看完之後真的有被他的空間跟簡約內裝吸引到再來動力也是整個驚艷雖然讓這台車變回年前那種倒車沒警示的車說回加回來的消息很多不過我覺得七月之前有就偷笑了沒環景老婆也是頗擔心原本想說而已如果要等車或是怎樣的就算了結果出乎意料月底就可以交車於是乎就開始跑流程題外話特斯拉的銷售過程真的很特別業務跟交車顧問創個群組簡單講一些事情等就像等一樣的概念雖然幫大黑找到一個很好的買家不過賣車還是跟嫁女兒一樣賣前還特別送去大美容整理的美美跑完過戶流程之後含淚吻別交車的地點在一個不起眼的地方集合之後車主們一起上課上課完之後就是牽車仔細檢查這批德國的公差真的是不錯基本上跟正常車子沒什麼兩樣領車後直接去包全車跟貼隔熱紙三天後領車開始熟悉一下分幾個重點來分享動力換到之後覺得有感提升但是變速箱有時候低速頓挫有點擾人換檔的邏輯也會覺得會有一點無力感完全沒有這些問題動力源源不絕的感覺很特別輕輕一踩就有噴出去的感覺整個開起來的感覺很流暢空間大就是大前面後面各種狂放置物空間真的沒什麼極限跟比寬長一些內裝個人喜歡簡約風所以有對到椅子的話跟比腿部支撐稍短但駕駛座有腰靠然後喇叭音質出乎我意料的優玻璃車頂也是一個亮點輔助駕駛跟比起來覺得的操作細膩一些方向盤過彎比較流暢加速減速沒什麼問題變換車道跟增強型還在熟悉當中話說前面三鏡頭在辨別方面真的蠻猛基本上各種車機車腳踏車人三角錐都可以前後偵測距離也滿遠科技感特斯拉整個就是滿滿的科技感整個功能就綁在平板裡面平板掛了我看整台車大概也裡面各種應用程式遊戲特殊功能像是燈光秀小孩感覺會很愛功能就等之後更新再來玩看看的話真的就無話可說很讚的沒什麼功能開個通風要等快一分鐘這邊開冷氣大概只要半秒各種功能多到不行手機鑰匙第一次體驗到很方便結果你也買特斯拉欸哈哈哈老婆在交車的時候跟我這麼說看著車群又開始的特粉大戰心中不禁百感交集反正之後應該也都會去超充我應該也沒拮据到要去加入人人當不要臉霸佔仔然後大概就是希望停車測距逼逼逼能趕快回來雖然停車不太需要但有還是比較好,妳看特粉又在裡面大戰了哈哈哈好好笑自從幾年前加入車群之後時不時就會看到特粉在群組大戰的訊息每次看到跳針言論就會跟老婆分享當作茶餘飯後的消遣看特斯拉的感覺大概就是看一群信徒買的車生了小孩換了之後其實基本上無可挑剔把車子的一些內裝配備改到自己喜歡的樣子環景也讓老婆開始會開車帶小孩出門這快兩年的時間承載著一家三到處玩到也創造很多美好回憶只是小孩開始唸書之後在市區通勤時間多了油耗也跟著開始爆炸保養卷三次也用完買了超多東西算了算油錢保養稅金也是一筆頗大開銷但也沒有說到想換車某天特斯拉傳說家裡附近有一間展間新開幕趁小孩上學跟老婆去看一下結果看了看聊了聊天就下訂了最主要是看完之後覺得電車以目前的通勤方式市區通勤回老婆娘家綜合起來是最省的方式另外保養跟稅金也是一筆再著看完之後真的有被他的空間跟簡約內裝吸引到再來動力也是整個驚艷雖然讓這台車變回年前那種倒車沒警示的車說回加回來的消息很多不過我覺得七月之前有就偷笑了沒環景老婆也是頗擔心原本想說而已如果要等車或是怎樣的就算了結果出乎意料月底就可以交車於是乎就開始跑流程題外話特斯拉的銷售過程真的很特別業務跟交車顧問創個群組簡單講一些事情等就像等一樣的概念雖然幫大黑找到一個很好的買家不過賣車還是跟嫁女兒一樣賣前還特別送去大美容整理的美美跑完過戶流程之後含淚吻別交車的地點在一個不起眼的地方集合之後車主們一起上課上課完之後就是牽車仔細檢查這批德國的公差真的是不錯基本上跟正常車子沒什麼兩樣領車後直接去包全車跟貼隔熱紙三天後領車開始熟悉一下分幾個重點來分享動力換到之後覺得有感提升但是變速箱有時候低速頓挫有點擾人換檔的邏輯也會覺得會有一點無力感完全沒有這些問題動力源源不絕的感覺很特別輕輕一踩就有噴出去的感覺整個開起來的感覺很流暢空間大就是大前面後面各種狂放置物空間真的沒什麼極限跟比寬長一些內裝個人喜歡簡約風所以有對到椅子的話跟比腿部支撐稍短但駕駛座有腰靠然後喇叭音質出乎我意料的優玻璃車頂也是一個亮點輔助駕駛跟比起來覺得的操作細膩一些方向盤過彎比較流暢加速減速沒什麼問題變換車道跟增強型還在熟悉當中話說前面三鏡頭在辨別方面真的蠻猛基本上各種車機車腳踏車人三角錐都可以前後偵測距離也滿遠科技感特斯拉整個就是滿滿的科技感整個功能就綁在平板裡面平板掛了我看整台車大概也裡面各種應用程式遊戲特殊功能像是燈光秀小孩感覺會很愛功能就等之後更新再來玩看看的話真的就無話可說很讚的沒什麼功能開個通風要等快一分鐘這邊開冷氣大概只要半秒各種功能多到不行手機鑰匙第一次體驗到很方便結果你也買特斯拉欸哈哈哈老婆在交車的時候跟我這麼說看著車群又開始的特粉大戰心中不禁百感交集反正之後應該也都會去超充我應該也沒拮据到要去加入人人當不要臉霸佔仔然後大概就是希望停車測距逼逼逼能趕快回來雖然停車不太需要但有還是比較好,"{""文章分類"": ""使用者體驗"",""情緒"": ""正面""}",,
2023-03-25 08:42:28,心得三個月花費,看到版上有再分享自己處車每公里的花費我也跟風分享目前養車的花費保險用家人名字電費目前公里平均電耗一度電約跑公路費用為元過路目前儲值但還沒用完配件及雜費目前約莫元稅金目前免稅所以為為了提早拿到車多付這三個月持有花費是這樣折舊不算了每台車都不一樣只考慮養車成本,看到版上有再分享自己處車每公里的花費我也跟風分享目前養車的花費保險用家人名字電費目前公里平均電耗一度電約跑公路費用為元過路目前儲值但還沒用完配件及雜費目前約莫元稅金目前免稅所以為為了提早拿到車多付這三個月持有花費是這樣折舊不算了每台車都不一樣只考慮養車成本,"{""文章分類"": ""使用者體驗"",""情緒"": ""正面"",}",,
2023-03-25 08:43:18,情報特斯拉版出現視覺停車測距,美國鄉民更新後拿捲尺量測前後都是以路緣石來當基準路邊停車也有抓到邊線的距離社團也看到有人實測偶爾會有誤判但還算可接受範圍,美國鄉民更新後拿捲尺量測前後都是以路緣石來當基準路邊停車也有抓到邊線的距離社團也看到有人實測偶爾會有誤判但還算可接受範圍,"{""文章分類"":""安全性方面"",""情緒"":""中性"",}",,
2023-03-25 09:19:28,新聞特斯拉車主創群組霸占專用車格影響,原文連結原文內容台中市政府為鼓勵民眾使用電動車公有停車場停車使用充電樁皆免費卻有特斯拉車主們合創充電群組互相回報哪裡還有空的充電樁使用並意圖占用影響其他電車車主權益台中市停管處為遏止這樣的亂象宣布今年月日起充電樁停車格改採累進費率沒想到此舉又讓電車車主們在群組內哀號當初承諾的電動車友善城市哪裡去了台中市政府原先規定公有停車場的電車停車格停車使用充電皆免費怎料出現有車主長期占用車格的情況台中市府自去年改採累進費率制若電車停車時未插入充電槍將酌收第小時停車費元第小時起每小時加元以此累進好增加停車充電樁週轉率不過占用亂象仍未改善根據壹蘋新聞網報導有特斯拉車主們成立通訊軟體的充電群組成員們在此互報消息排隊預約公有電車停車格的使用若其他電車車主想充電還會被詢問有加入群組嗎沒有加入不能充電遭到民眾抱怨拿公有資源做私人管理對此台中停車管理處本月日公告自年月日起台中市公有停車場內的電動車專用停車區採取汽車累進費率收費管理收費以半小時計費第小時元第小時起每小時元也就是說不管車主有沒有插上充電槍使用只要停車都必須被收費此公告一出立刻引起該群組的電車車主們不滿有車主算出依新費率電動車停在充電區天就要付費元比其他城市電車充電收費來得高當初電動車友善城市的承諾在哪另外有車主表示打爆市議員電話陳情比較快等語另外也有車主找尋第三方或其他民間的充電樁對於電車車主的不滿台中市交通局長葉昭甫表示新的累進收費制是為了落實使用者付費精神與民營慢充站平均市場行情相較平均每小時約元台中市充電停車費相當於打折優惠未來將視使用率滾動檢討費率葉昭甫強調市府持續推廣各項綠能措施電動車若停放於台中市其他公有非充電車格仍免收停車費而充電車格因屬專用車格為減少占用等不當使用情形故將充電車格納入收費管理為市民營造更友善的電動車輛環境也有助推廣民眾使用低碳交通運具交通局則說明充電車格依停車場法規定屬專用性質任何車輛停放於充電車格若未充電即屬占用行為除將依充電車格公告的停車費率收費外還會依法實施車輛拖吊移置作業呼籲民眾將充電車格留給有充電需求的民眾心得說明字以上原文及網址連結心得或意見字不含標點符號使用者收費很合理阿現在到處都在缺電有可能還給你充免錢的話說上匝道群組哪裡可以加補個提外話國五北上蘇澳交流道因為離休息區非常近一上交流道就會有一堆車轉進休息區再從裡面出來接匝道直接省略中間這段塞車塞得要死然後還可以一路從路肩開到匝道口燈號下真的是有夠聰明反應給高公局也沒有用既然這樣就分享給大家以後就都一起來聰明一起塞吧,原文連結原文內容台中市政府為鼓勵民眾使用電動車公有停車場停車使用充電樁皆免費卻有特斯拉車主們合創充電群組互相回報哪裡還有空的充電樁使用並意圖占用影響其他電車車主權益台中市停管處為遏止這樣的亂象宣布今年月日起充電樁停車格改採累進費率沒想到此舉又讓電車車主們在群組內哀號當初承諾的電動車友善城市哪裡去了台中市政府原先規定公有停車場的電車停車格停車使用充電皆免費怎料出現有車主長期占用車格的情況台中市府自去年改採累進費率制若電車停車時未插入充電槍將酌收第小時停車費元第小時起每小時加元以此累進好增加停車充電樁週轉率不過占用亂象仍未改善根據壹蘋新聞網報導有特斯拉車主們成立通訊軟體的充電群組成員們在此互報消息排隊預約公有電車停車格的使用若其他電車車主想充電還會被詢問有加入群組嗎沒有加入不能充電遭到民眾抱怨拿公有資源做私人管理對此台中停車管理處本月日公告自年月日起台中市公有停車場內的電動車專用停車區採取汽車累進費率收費管理收費以半小時計費第小時元第小時起每小時元也就是說不管車主有沒有插上充電槍使用只要停車都必須被收費此公告一出立刻引起該群組的電車車主們不滿有車主算出依新費率電動車停在充電區天就要付費元比其他城市電車充電收費來得高當初電動車友善城市的承諾在哪另外有車主表示打爆市議員電話陳情比較快等語另外也有車主找尋第三方或其他民間的充電樁對於電車車主的不滿台中市交通局長葉昭甫表示新的累進收費制是為了落實使用者付費精神與民營慢充站平均市場行情相較平均每小時約元台中市充電停車費相當於打折優惠未來將視使用率滾動檢討費率葉昭甫強調市府持續推廣各項綠能措施電動車若停放於台中市其他公有非充電車格仍免收停車費而充電車格因屬專用車格為減少占用等不當使用情形故將充電車格納入收費管理為市民營造更友善的電動車輛環境也有助推廣民眾使用低碳交通運具交通局則說明充電車格依停車場法規定屬專用性質任何車輛停放於充電車格若未充電即屬占用行為除將依充電車格公告的停車費率收費外還會依法實施車輛拖吊移置作業呼籲民眾將充電車格留給有充電需求的民眾心得說明字以上原文及網址連結心得或意見字不含標點符號使用者收費很合理阿現在到處都在缺電有可能還給你充免錢的話說上匝道群組哪裡可以加補個提外話國五北上蘇澳交流道因為離休息區非常近一上交流道就會有一堆車轉進休息區再從裡面出來接匝道直接省略中間這段塞車塞得要死然後還可以一路從路肩開到匝道燈號下真的是有夠聰明反應給高公局也沒有用既然這樣就分享給大家以後就都一起來聰明一起塞吧,"{""文章分類"": ""使用者體驗"",""情緒"": ""負面"",}",,
2023-03-25 15:47:27,討論一人給我一個入坑電車的理由,給你一個理由年輕妹子比較喜歡特斯拉本肥去年換了台米漿一堆公司的熟女姊姊整天拜託我載她們回家還說家裡的貓貓很可愛叫我上去看看嚇屎我惹反而住我家附近的年輕妹妹都不給我載還說雙是老人開的特斯拉才潮早知道轉職特粉妹子幹不完虧大了,給你一個理由年輕妹子比較喜歡特斯拉本肥去年換了台米漿一堆公司的熟女姊姊整天拜託我載她們回家還說家裡的貓貓很可愛叫我上去看看嚇屎我惹反而住我家附近的年輕妹妹都不給我載還說雙是老人開的特斯拉才潮早知道轉職特粉妹子幹不完虧大了,"{""文章分類"":""使用者體驗"",""情緒"":""負面"",}",,
2023-03-25 16:37:12,討論一人給我一個入坑電車的理由,幫妳列缺點電池過保車子變沒價車輛保固過電子產品基板壞掉維修費也高家裡如果沒不能裝充電樁外面充電其實跟油車花的錢很接近如果你要買特斯拉偷情不方便有上帝之眼在看著妳電價漲花費也就提高優點在車上跟女友老婆親熱或是運動有冷氣吹不怕怠速會被敲門加速很快超車快很準同級車來說減碳相對來說很潮我自己覺得還好就車子而已,幫妳列缺點電池過保車子變沒價車輛保固過電子產品基板壞掉維修費也高家裡如果沒不能裝充電樁外面充電其實跟油車花的錢很接近如果你要買特斯拉偷情不方便有上帝之眼在看著妳電價漲花費也就提高優點在車上跟女友老婆親熱或是運動有冷氣吹不怕怠速會被敲門加速很快超車快很準同級車來說減碳相對來說很潮我自己覺得還好就車子而已,"{""文章分類"": ""性價比方面、使用者體驗、安全性方面"",""情緒"": ""複雜"",""缺點"": [""電池過保車子變沒價"",""電子產品基板壞掉維修費高"",""沒能裝充電樁，外面充電等於油車花費接近""],""優點"": [""車上跟女友halpha有冷氣吹"",""減碳相對來說很潮"",""加速很快超車快，準同級車""]}",,
